"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2012","2012","PER","Persons","0","Units",,,5469608,"B","Break"
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,28658970,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2001","2001","PER","Persons","0","Units",,,28845730,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2002","2002","PER","Persons","0","Units",,,29034960,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2003","2003","PER","Persons","0","Units",,,29221990,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2004","2004","PER","Persons","0","Units",,,29416940,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2005","2005","PER","Persons","0","Units",,,29616890,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2006","2006","PER","Persons","0","Units",,,29815990,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2007","2007","PER","Persons","0","Units",,,30001160,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2008","2008","PER","Persons","0","Units",,,30166090,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2009","2009","PER","Persons","0","Units",,,30322690,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2010","2010","PER","Persons","0","Units",,,30475790,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2011","2011","PER","Persons","0","Units",,,30626400,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2012","2012","PER","Persons","0","Units",,,30769540,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,8047427,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2001","2001","PER","Persons","0","Units",,,8105269,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2002","2002","PER","Persons","0","Units",,,8155210,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2003","2003","PER","Persons","0","Units",,,8194610,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2004","2004","PER","Persons","0","Units",,,8225833,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2005","2005","PER","Persons","0","Units",,,8248175,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2006","2006","PER","Persons","0","Units",,,8263141,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2007","2007","PER","Persons","0","Units",,,8281402,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2008","2008","PER","Persons","0","Units",,,8311359,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2009","2009","PER","Persons","0","Units",,,8350452,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2010","2010","PER","Persons","0","Units",,,8391915,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2011","2011","PER","Persons","0","Units",,,8429897,,
"NLD","Netherlands","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2012","2012","PER","Persons","0","Units",,,8459856,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,30196000,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2001","2001","PER","Persons","0","Units",,,30281000,"B","Break"
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2002","2002","PER","Persons","0","Units",,,29955400,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2003","2003","PER","Persons","0","Units",,,30079120,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2004","2004","PER","Persons","0","Units",,,30224240,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2005","2005","PER","Persons","0","Units",,,30436520,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2006","2006","PER","Persons","0","Units",,,30632890,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2007","2007","PER","Persons","0","Units",,,30857240,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2008","2008","PER","Persons","0","Units",,,31092760,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2009","2009","PER","Persons","0","Units",,,31304490,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2010","2010","PER","Persons","0","Units",,,31532420,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2011","2011","PER","Persons","0","Units",,,31769780,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2012","2012","PER","Persons","0","Units",,,31971790,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,58886000,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2001","2001","PER","Persons","0","Units",,,59113000,"B","Break"
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2002","2002","PER","Persons","0","Units",,,58569630,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2003","2003","PER","Persons","0","Units",,,58838950,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2004","2004","PER","Persons","0","Units",,,59149120,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2005","2005","PER","Persons","0","Units",,,59591040,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2006","2006","PER","Persons","0","Units",,,60002570,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2007","2007","PER","Persons","0","Units",,,60481820,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2008","2008","PER","Persons","0","Units",,,60982380,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2009","2009","PER","Persons","0","Units",,,61423720,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2010","2010","PER","Persons","0","Units",,,61914640,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2011","2011","PER","Persons","0","Units",,,62435200,,
"GBR","United Kingdom","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2012","2012","PER","Persons","0","Units",,,62858800,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,214957,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2001","2001","PER","Persons","0","Units",,,217562,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2002","2002","PER","Persons","0","Units",,,219916,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2003","2003","PER","Persons","0","Units",,,222858,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2004","2004","PER","Persons","0","Units",,,226432,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2005","2005","PER","Persons","0","Units",,,230128,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2006","2006","PER","Persons","0","Units",,,233946,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2007","2007","PER","Persons","0","Units",,,237699,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2008","2008","PER","Persons","0","Units",,,242221,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2009","2009","PER","Persons","0","Units",,,247120,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2010","2010","PER","Persons","0","Units",,,252012,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2011","2011","PER","Persons","0","Units",,,258219,,
"LUX","Luxembourg","YP99TLL1_ST","Population (hist5) All ages","MA","Males","A","Annual","2012","2012","PER","Persons","0","Units",,,265116,"B","Break"
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,59062380,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2001","2001","PER","Persons","0","Units",,,59476240,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2002","2002","PER","Persons","0","Units",,,59893870,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2003","2003","PER","Persons","0","Units",,,60303630,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2004","2004","PER","Persons","0","Units",,,60734340,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2005","2005","PER","Persons","0","Units",,,61181500,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2006","2006","PER","Persons","0","Units",,,61597480,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2007","2007","PER","Persons","0","Units",,,61965050,,
