"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","YP9902L1_ST","Population (hist5)  05-09","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,475211,,
"AUT","Austria","YP9902L1_ST","Population (hist5)  05-09","TT","All persons","A","Annual","2001","2001","PER","Persons","0","Units",,,469227,,
"AUT","Austria","YP9902L1_ST","Population (hist5)  05-09","TT","All persons","A","Annual","2002","2002","PER","Persons","0","Units",,,462313,,
"AUT","Austria","YP9908L1_ST","Population (hist5)  35-39","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,343139,,
"AUT","Austria","YP9908L1_ST","Population (hist5)  35-39","FE","Females","A","Annual","2001","2001","PER","Persons","0","Units",,,347168,,
"AUT","Austria","YP9908L1_ST","Population (hist5)  35-39","FE","Females","A","Annual","2002","2002","PER","Persons","0","Units",,,348880,,
"AUT","Austria","YP9905L1_ST","Population (hist5)  20-24","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,469486,,
"AUT","Austria","YP9905L1_ST","Population (hist5)  20-24","TT","All persons","A","Annual","2001","2001","PER","Persons","0","Units",,,475462,,
"AUT","Austria","YP9905L1_ST","Population (hist5)  20-24","TT","All persons","A","Annual","2002","2002","PER","Persons","0","Units",,,488613,,
"AUT","Austria","YP9920L1_ST","Population (hist5)  85+","MA","Males","A","Annual","2000","2000","PER","Persons","0","Units",,,36515,,
"AUT","Austria","YP9920L1_ST","Population (hist5)  85+","MA","Males","A","Annual","2001","2001","PER","Persons","0","Units",,,35363,,
"AUT","Austria","YP9920L1_ST","Population (hist5)  85+","MA","Males","A","Annual","2002","2002","PER","Persons","0","Units",,,33441,,
"DNK","Denmark","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,2700396,,
"DNK","Denmark","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2001","2001","PER","Persons","0","Units",,,2709551,,
